prog_id,event_id,prog_name,is_race,prog_date,prog_gender,results,team,race_title,race_venue,race_country,cat_id,cat_name
307988,110365,Elite Men,True,2016-03-20,male,True,False,2016 ARG Triathlon National Championships,,Argentina,[-1],['']
309672,111234,Elite Men,True,2016-03-20,male,True,False,2016 RSA Triathlon National Championships,,South africa,[-1],['']
280718,101002,Elite Men,True,2016-03-26,male,True,False,2016 Le Morne ATU Sprint Triathlon African Cup,Le morne,Mauritius,[341],['Continental Cup']
303279,106366,Elite Men,True,2016-04-02,male,True,False,2016 ECU Triathlon National Championships,,Ecuador,[-1],['']
280780,100885,Elite Men,True,2016-04-02,male,True,False,2016 Quarteira ETU Triathlon European Cup,Quarteira,Portugal,[341],['Continental Cup']
280777,100886,Junior Men,True,2016-04-03,male,True,False,2016 Quarteira ETU Triathlon Junior European Cup,Quarteira,Portugal,[342],['Continental Junior Cup']
280789,101003,Elite Men,True,2016-04-02,male,True,False,2016 Sharm El Sheikh ATU Sprint Triathlon African Cup and Pan-Arab Sprint Triathlon Championships,Sharm el sheikh ,Egypt,"[341, 347]","['Continental Cup', 'Regional Championships']"
299265,101003,U23 Men,True,2016-04-02,male,True,False,2016 Sharm El Sheikh ATU Sprint Triathlon African Cup and Pan-Arab Sprint Triathlon Championships,Sharm el sheikh ,Egypt,"[341, 347]","['Continental Cup', 'Regional Championships']"
299267,101003,Junior Men,True,2016-04-02,male,True,False,2016 Sharm El Sheikh ATU Sprint Triathlon African Cup and Pan-Arab Sprint Triathlon Championships,Sharm el sheikh ,Egypt,"[341, 347]","['Continental Cup', 'Regional Championships']"
280784,100583,Elite Men,True,2016-04-03,male,True,False,2016 New Plymouth ITU Triathlon World Cup,New plymouth,New zealand,[349],['World Cup']
308192,110585,Elite Men,True,2016-04-03,male,True,False,2016 ISV Triathlon National Championships,,Virgin islands,[-1],['']
309753,111321,Elite Men,True,2016-04-03,male,True,False,2016 GRN Sprint Triathlon National Championships,,Grenada,[-1],['']
312864,112766,Elite Men,True,2016-04-03,male,True,False,2016 GUA Triathlon National Championships,,Guatemala,[-1],['']
280765,97637,Elite Men,True,2016-04-09,male,True,False,2016 ITU World Triathlon Gold Coast,Gold coast,Australia,[351],['World Championship Series']
304510,107248,Elite Men,True,2016-04-09,male,True,False,2016 BRA Triathlon National Championships,,Brazil,[-1],['']
280770,101388,Elite Men,True,2016-04-10,male,True,False,2016 Melilla ETU Triathlon European Cup,Melilla,Spain,[341],['Continental Cup']
280774,101389,Junior Men,True,2016-04-10,male,True,False,2016 Melilla ETU Triathlon Junior European Cup,Melilla,Spain,[342],['Continental Junior Cup']
280793,101519,Junior Men,True,2016-04-15,male,True,False,2016 San Andres CAMTRI Triathlon Junior Central American and Caribbean Championships,San andres,Colombia,[347],['Regional Championships']
280797,100584,Elite Men,True,2016-04-16,male,True,False,2016 Chengdu ITU Triathlon World Cup,"Jintang, chengdu, sichuan province, china",China,[349],['World Cup']
282283,102757,Elite Men,True,2016-04-17,male,True,False,2016 Subic Bay NTT ASTC Triathlon Asian Cup,Subic bay,Philippines,[341],['Continental Cup']
280872,101518,Elite Men,True,2016-04-17,male,True,False,2016 Bridgetown CAMTRI Sprint Triathlon American Cup,"Brandons beach, bridgetown",Barbados,[341],['Continental Cup']
280876,97639,Elite Men,True,2016-04-24,male,True,False,2016 ITU World Triathlon Cape Town,Cape town,South africa,[351],['World Championship Series']
