event_id,event_title,event_slug,event_venue,event_website,event_date,event_country,event_region_id,event_country_id,event_latitude,event_longitude,event_categories,event_specifications
66927,2013 Holten ETU Triathlon U23 and Youth European Championships,2013-holten-etu-triathlon-u23-and-youth-european-championships-,Holten,https://web.archive.org/web/20131231100000/http://triathlonholten.nl/,2013-06-27,Netherlands,10,230,52.28139,6.41861,"[{'event_id': 66927, 'cat_id': 340, 'cat_name': 'Continental Championships', 'cat_parent_id': 1}]","[{'event_id': 66927, 'cat_id': 357, 'cat_name': 'Triathlon', 'cat_parent_id': 3}, {'event_id': 66927, 'cat_id': 376, 'cat_name': 'Sprint', 'cat_parent_id': 357}, {'event_id': 66927, 'cat_id': 377, 'cat_name': 'Standard', 'cat_parent_id': 357}, {'event_id': 66927, 'cat_id': 379, 'cat_name': 'Relay', 'cat_parent_id': 357}, {'event_id': 66927, 'cat_id': 380, 'cat_name': 'Mixed Relay', 'cat_parent_id': 357}]"
66928,2013 Holten ITU Sprint Triathlon Premium European Cup,2013-holten-itu-sprint-triathlon-premium-european-cup,Holten,https://web.archive.org/web/20131231100000/http://triathlonholten.nl/,2013-06-29,Netherlands,10,230,52.28139,6.41861,"[{'event_id': 66928, 'cat_id': 341, 'cat_name': 'Continental Cup', 'cat_parent_id': 1}]","[{'event_id': 66928, 'cat_id': 357, 'cat_name': 'Triathlon', 'cat_parent_id': 3}, {'event_id': 66928, 'cat_id': 376, 'cat_name': 'Sprint', 'cat_parent_id': 357}]"
66996,2013 Vila Velha PATCO Triathlon Pan-American Championships,2013-vila-velha-patco-triathlon-pan-american-championships,"Itaparica, Vila Velha",http://www.cbtri.org.br,2013-06-29,Brazil,11,127,-20.37684,-40.30625,"[{'event_id': 66996, 'cat_id': 340, 'cat_name': 'Continental Championships', 'cat_parent_id': 1}]","[{'event_id': 66996, 'cat_id': 357, 'cat_name': 'Triathlon', 'cat_parent_id': 3}, {'event_id': 66996, 'cat_id': 376, 'cat_name': 'Sprint', 'cat_parent_id': 357}, {'event_id': 66996, 'cat_id': 377, 'cat_name': 'Standard', 'cat_parent_id': 357}, {'event_id': 66996, 'cat_id': 381, 'cat_name': 'Paratriathlon', 'cat_parent_id': 357}]"
78952,2013 SVK Triathlon National Championships,2013-svk-triathlon-national-championships,,,2013-06-29,Slovakia,10,265,48.669026,19.699024,,"[{'event_id': 78952, 'cat_id': 357, 'cat_name': 'Triathlon', 'cat_parent_id': 3}, {'event_id': 78952, 'cat_id': 377, 'cat_name': 'Standard', 'cat_parent_id': 357}]"
78925,2013 BEL Triathlon National Championships,2013-bel-triathlon-national-championships,,,2013-06-30,Belgium,10,119,50.503887,4.469936,,"[{'event_id': 78925, 'cat_id': 357, 'cat_name': 'Triathlon', 'cat_parent_id': 3}, {'event_id': 78925, 'cat_id': 377, 'cat_name': 'Standard', 'cat_parent_id': 357}]"
66636,2013 ITU World Triathlon Kitzbuehel,2013-itu-world-triathlon-kitzbuehel,Kitzbuehel,,2013-07-06,Austria,10,112,47.44499,12.39143,"[{'event_id': 66636, 'cat_id': 351, 'cat_name': 'World Championship Series', 'cat_parent_id': 1}]","[{'event_id': 66636, 'cat_id': 357, 'cat_name': 'Triathlon', 'cat_parent_id': 3}, {'event_id': 66636, 'cat_id': 377, 'cat_name': 'Standard', 'cat_parent_id': 357}]"
78845,2013 NED Para Triathlon National Championships,2013-ned-paratriathlon-national-championships,,,2013-07-06,Netherlands,10,230,52.132633,5.291266,,"[{'event_id': 78845, 'cat_id': 357, 'cat_name': 'Triathlon', 'cat_parent_id': 3}, {'event_id': 78845, 'cat_id': 376, 'cat_name': 'Sprint', 'cat_parent_id': 357}, {'event_id': 78845, 'cat_id': 381, 'cat_name': 'Paratriathlon', 'cat_parent_id': 357}]"
79553,2013 ITA Triathlon Junior National Championships,2013-ita-triathlon-junior-national-championships,,,2013-07-06,Italy,10,190,41.87194,12.56738,,"[{'event_id': 79553, 'cat_id': 357, 'cat_name': 'Triathlon', 'cat_parent_id': 3}, {'event_id': 79553, 'cat_id': 376, 'cat_name': 'Sprint', 'cat_parent_id': 357}]"
67178,2013 Athlone ETU Triathlon Junior European Cup,2013-athlone--etu-triathlon-junior-european-cup,Athlone,https://web.archive.org/web/20131231100000/http://triathlone.com,2013-07-07,Ireland,10,188,53.42393,-7.94069,"[{'event_id': 67178, 'cat_id': 342, 'cat_name': 'Continental Junior Cup', 'cat_parent_id': 1}]","[{'event_id': 67178, 'cat_id': 357, 'cat_name': 'Triathlon', 'cat_parent_id': 3}, {'event_id': 67178, 'cat_id': 376, 'cat_name': 'Sprint', 'cat_parent_id': 357}]"
68324,2013 Kokshetau ITU Triathlon Asian Cup,2013-kokshetau-itu-triathlon-asian-cup,Kokshetau,,2013-07-07,Kazakhstan,13,194,53.28333,69.38333,"[{'event_id': 68324, 'cat_id': 341, 'cat_name': 'Continental Cup', 'cat_parent_id': 1}]","[{'event_id': 68324, 'cat_id': 357, 'cat_name': 'Triathlon', 'cat_parent_id': 3}, {'event_id': 68324, 'cat_id': 377, 'cat_name': 'Standard', 'cat_parent_id': 357}]"
